Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
-47	-5.70795505127646E-6	1.0281814531966E-6	9.1934366135719E-7	1.76746768492254E-6	1.161648396247E-5	7.60006305913157E-5
-48	4.57490307658739E-6	2.57608885009819E-6	1.10084708706088E-5	6.0388534147938E-6	1.17928789002837E-5	8.07932576914685E-5
-49	3.68771564477417E-6	-8.22542736198996E-6	-4.59669299585425E-6	-2.74939271219725E-6	-2.89782020510583E-6	6.87028496617936E-5
-50	-3.23878503163866E-6	-4.96010717870391E-6	-2.286551603753E-6	-1.76746768492254E-6	2.5702469997818E-6	5.35080449487235E-5
-51	1.88127348898102E-6	8.85816094261401E-6	1.5251608116954E-5	7.95362435086188E-6	3.75457822387083E-6	6.37469255945887E-5
-52	6.94787121972507E-6	-4.86972533275147E-6	8.79263801003709E-6	1.37470294566878E-6	-5.54360898974471E-7	4.90151123718089E-5
-53	-4.42525188740999E-6	-5.52504830896792E-6	-5.49244686886319E-6	-2.77394545057822E-6	-4.53575387300895E-7	5.28273728998473E-5
-54	-1.64611717215797E-6	6.20298494435959E-6	1.09377521274274E-5	-3.21581566659393E-6	1.09109312677286E-5	5.36169583242418E-5
-55	-4.38256818677722E-7	-3.27661488108226E-6	6.55324067204888E-6	-3.24036840497491E-6	1.30528330787694E-5	5.03766026620118E-5
-56	1.64611717215797E-6	-1.54339437049967E-5	-1.26350272747109E-5	-1.29614736198996E-5	-2.94821296094261E-6	4.35144752345625E-5
-57	-6.81960205105826E-6	3.54778468252236E-6	-1.17860353480253E-7	1.10467554003928E-6	-8.81947632555095E-7	3.52636657211434E-5
-58	5.08796827405629E-6	8.50790399301767E-6	4.76169495963343E-6	7.11898939559241E-6	7.35796465197469E-6	3.35754353043858E-5
-59	2.83259550512765E-6	-1.33099096661575E-5	-4.92670957887846E-6	-6.16159074841807E-6	-5.44286406284093E-6	3.501864717434E-5
-60	-4.51076849225398E-6	-8.34971756491381E-6	-7.7554466506655E-6	-6.79985651320096E-6	-7.05552694741436E-7	4.13632533275147E-5
