Thickness	-Seebeck	Independent Variable	Polynomial Fit of -Seebeck	Thickness	Conductivity	Independent Variable	Polynomial Fit of Conductivity	Thickness	Power factor	Independent Variable	Polynomial Fit of Power factor	
Layer	\g(m)V/K	Layer	\g(m)V/K	Layer	S/m	Layer	S/m	Layer	mW/mK^2	Layer	mW/mK^2	
Thickness	-Seebeck	Thickness	Fitted Curves Plot of -Seebeck	Thickness	Conductivity	Thickness	Fitted Curves Plot of Conductivity	Thickness	Power factor	Thickness	Fitted Curves Plot of Conductivity	
		4.05405405405405	2.15793444691662E-4			4.36936936936937	57.2502967320893			4.05405405405405	8.06222657242196E-6	
		4.0990990990991	2.16631604837321E-4			4.41441441441441	56.6661100307415			4.0990990990991	8.05011393806195E-6	
		4.14414414414414	2.17470035973332E-4			4.45945945945946	56.093725080936			4.14414414414414	8.03790821269313E-6	
		4.18918918918919	2.18308716091527E-4			4.5045045045045	55.5327878301266			4.18918918918919	8.02560987518979E-6	
		4.23423423423423	2.1914762308844E-4			4.54954954954955	54.9829582476501			4.23423423423423	8.01321940754075E-6	
		4.27927927927928	2.19986734766159E-4			4.59459459459459	54.4439096373791			4.27927927927928	8.0007372948177E-6	
		4.32432432432432	2.20826028833178E-4			4.63963963963964	53.9153279904142			4.32432432432432	7.98816402514375E-6	
		4.36936936936937	2.2166548290527E-4			4.68468468468468	53.3969113751218			4.36936936936937	7.97550008966165E-6	
		4.41441441441441	2.22505074506361E-4			4.72972972972973	52.8883693620254			4.41441441441441	7.96274598250177E-6	
		4.45945945945946	2.23344781069419E-4			4.77477477477477	52.3894224812516			4.45945945945946	7.94990220075009E-6	
		4.5045045045045	2.24184579937348E-4			4.81981981981982	51.8998017103987			4.5045045045045	7.93696924441606E-6	
		4.54954954954955	2.25024448363898E-4			4.86486486486486	51.419247990858			4.54954954954955	7.92394761639995E-6	
		4.59459459459459	2.25864363514576E-4			4.90990990990991	50.9475117707584			4.59459459459459	7.91083782246064E-6	
		4.63963963963964	2.26704302467577E-4			4.95495495495496	50.4843525728424			4.63963963963964	7.8976403711827E-6	
		4.68468468468468	2.27544242214712E-4			5	50.0295385856997			4.68468468468468	7.88435577394368E-6	
		4.72972972972973	2.2838415966236E-4			5.04504504504505	49.5828462768988			4.72972972972973	7.87098454488116E-6	
		4.77477477477477	2.29224031632413E-4			5.09009009009009	49.1440600266607			4.77477477477477	7.85752720085958E-6	
		4.81981981981982	2.30063834863246E-4			5.13513513513514	48.7129717808128			4.81981981981982	7.84398426143713E-6	
		4.86486486486486	2.30903546010685E-4			5.18018018018018	48.2893807218492			4.86486486486486	7.83035624883231E-6	
		4.90990990990991	2.31743141648989E-4			5.22522522522523	47.8730929570057			4.90990990990991	7.81664368789043E-6	
		4.95495495495496	2.32582598271843E-4			5.27027027027027	47.4639212223305			4.95495495495496	7.80284710605009E-6	
		5	2.33421892293354E-4			5.31531531531532	47.0616846018022			5	7.78896703330944E-6	
		5.04504504504505	2.34261000049062E-4			5.36036036036036	46.6662082606106			5.04504504504505	7.77500400219222E-6	
		5.09009009009009	2.35099897796958E-4			5.40540540540541	46.2773231917722			5.09009009009009	7.760958547714E-6	
		5.13513513513514	2.35938561718511E-4			5.45045045045045	45.8948659753113			5.13513513513514	7.74683120734787E-6	
		5.18018018018018	2.36776967919702E-4			5.4954954954955	45.5186785492841			5.18018018018018	7.7326225209905E-6	
		5.22522522522523	2.37615092432069E-4			5.54054054054054	45.1486079919729			5.22522522522523	7.71833303092769E-6	
