Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300K	T=260K	T=220K	T=180K	T=140K	T=100K
-41	-2.0652825660048E-6	3.32699991817587E-6	4.31183153092952E-6	-4.5299769528693E-6	2.35985230744054E-6	3.99679181213179E-6
-42	2.2084201464652E-6	4.13412424312677E-7	-3.07313879077569E-6	-1.87068134273402E-6	-2.48288784638883E-6	-1.38836972234344E-7
-43	4.19192157156884E-6	-5.61060662366354E-6	-2.13700324398593E-6	1.7881507405084E-6	-1.3930548494436E-6	-1.61134052647011E-6
-44	-3.82385429167576E-6	9.64628109317041E-7	4.41584912993672E-6	-1.92570174421776E-6	3.28708965197469E-6	2.14143855348571E-6
-45	-1.22690099620882E-6	3.99633155138556E-6	-2.70435604407593E-6	-1.86151209633428E-6	-2.44334660702597E-6	-1.38836972234344E-7
-46	5.86868471116081E-6	-3.64195464215579E-6	-2.65706839474689E-6	3.47542746290639E-6	-2.91793584987999E-6	-2.01101744899629E-6
-47	-9.40625835288021E-7	-1.83082758291512E-6	2.77055367663103E-6	-9.44511148538075E-7	3.4057369626882E-6	1.97315282020511E-6
-48	-4.21236822905302E-6	6.12246089488326E-6	-2.26937566482108E-7	-5.18105498581715E-6	1.58201761946323E-6	3.03757261891774E-6
-49	3.5375736417194E-6	-9.44943439068296E-7	-4.29292154770347E-6	9.44511148538075E-7	-2.28514154211215E-6	-2.18351789221034E-6
-50	3.51712698423522E-6	-4.25223226461925E-6	3.20550867335806E-6	1.40301285320751E-6	1.2963769910539E-6	-1.23269875593225E-6
-51	-3.76248687404539E-6	3.87819710751691E-6	3.93360648388065E-6	-3.80554494872354E-6	4.92623445341479E-6	2.3475889155575E-6
-52	-4.70311545385119E-7	1.04337471702487E-6	-2.49633099907266E-6	-1.17376446241545E-6	-2.80367676740127E-6	-1.67865391630755E-6
-53	4.41683480389483E-6	-3.68135040502946E-6	-2.2599282879664E-6	4.01644992363081E-6	-2.2807462360899E-6	-2.49905646547022E-6
-54	-2.37200712892756E-6	-2.75609163620991E-7	4.33074151415557E-6	-2.81519249127209E-6	3.38374863626446E-6	3.79064145006E-6
-55	-3.43531290912066E-6	4.3309973679904E-6	-1.27653301262819E-6	-2.20079882855117E-6	8.26164180122191E-7	5.76380782238708E-7
-56	2.88322571186995E-6	-2.93325366844861E-6	-2.34503082724198E-6	2.89772801658302E-6	-3.01900665502946E-6	-3.11328380700415E-6
-57	6.74797331851407E-7	-2.04737480907702E-6	2.38285333194687E-6	5.77709292494E-7	2.60153515710234E-6	3.40779400433668E-7
-58	-5.05073607626009E-6	5.88621842952215E-6	1.92897819898265E-6	-4.98848850370936E-6	2.86959456142265E-6	3.87057638282784E-6
-59	3.10816638937377E-6	1.12211868249509E-6	-4.54821901251909E-6	1.2654643110408E-6	-4.26705651320096E-6	-2.7935440759328E-6
-60	2.45379924789985E-6	-3.14981146356099E-6	-4.06597636646302E-7	2.50341349825442E-6	1.0502823205324E-6	-3.80554494872354E-6
